number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values
					loss.adversarial_temperature	loss.margin	model.embedding_dim	model.relation_dim	model.scoring_fct_norm	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151
0	TrialState.COMPLETE	0.0002655807365439094	2020-01-07 10:52:43.432275	2020-01-07 11:19:43.927906	0.5373521725059814	23.21411053494209	50.0	50.0	1	120.0	0.04321920701504732	1000.0	1.0857272830735254	0.0	0.0002655807365439094	0.0	4.426345609065156e-05	22011.806657223795	0.0002600450885145872	0.0	0.0002655807365439094	0.0	4.426345609065156e-05	22010.895759560906	0.00026122380244378583	0.0	0.0002655807365439094	0.0	4.426345609065156e-05	22012.717554886687	0.00025902897141682655	0	0.00017705382436260624	0.00023607176581680832	
1	TrialState.COMPLETE	0.0004426345609065156	2020-01-07 11:19:43.928868	2020-01-07 12:07:59.004195	0.9052690765522781	28.567785636506688	100.0	50.0	1	200.0	0.01646584609085977	500.0	1.094141463112069	0.0	0.0004426345609065156	8.852691218130312e-05	8.852691218130312e-05	22182.753098441928	0.0003648684037480474	0.0	0.0004426345609065156	8.852691218130312e-05	8.852691218130312e-05	22182.019298866857	0.000364927356877298	0.0	0.0004426345609065156	8.852691218130312e-05	8.852691218130312e-05	22183.486898016996	0.0003648100490965911	1	0.0003541076487252125	0.00041312559017941453	
2	TrialState.COMPLETE	0.0005311614730878187	2020-01-07 12:07:59.005113	2020-01-07 14:18:40.146144	0.3039338418112534	16.654294031078837	150.0	150.0	1	180.0	0.017596767036754276	700.0	1.0997545667782307	0.0	0.0005311614730878187	0.00017705382436260624	0.0002213172804532578	22296.387150318697	0.0003632574100506625	0.0	0.0005311614730878187	0.00017705382436260624	0.0002213172804532578	22295.499247521246	0.0003635771993583511	0.0	0.0005311614730878187	0.00017705382436260624	0.0002213172804532578	22297.275053116147	0.0003629566729905354	2	0.0005311614730878187	0.0005311614730878187	
3	TrialState.COMPLETE	0.00396600566572238	2020-01-07 14:18:40.147055	2020-01-07 17:06:04.834906	0.8376082566484933	14.370351705024982	100.0	200.0	2	180.0	0.0010323417786277794	500.0	1.0045172033062169	0.0007790368271954674	0.00396600566572238	0.0015580736543909348	0.002443342776203966	20365.338314447592	0.002553909310636023	0.0007790368271954674	0.00396600566572238	0.0015580736543909348	0.002443342776203966	20358.9236898017	0.0025545721147884545	0.0007790368271954674	0.00396600566572238	0.0015580736543909348	0.002443342776203966	20371.752939093483	0.002553300585390864	3		0.003777148253068933	0.003895184135977337
4	TrialState.COMPLETE	0.002921388101983003	2020-01-07 17:06:04.835775	2020-01-07 17:50:24.541538	0.9467608492505672	24.25798617322761	100.0	100.0	2	100.0	0.0030130553771956746	800.0	1.0108350153160701	0.0005754249291784702	0.002921388101983003	0.0011508498583569404	0.001593484419263456	20492.927230878187	0.0018743670678618132	0.0006639518413597734	0.003098441926345609	0.0012393767705382436	0.0017262747875354107	20437.480922450424	0.001984352179025785	0.0005754249291784702	0.002921388101983003	0.0011508498583569404	0.001593484419263456	20548.37353930595	0.0018676088650960655	4	0.002301699716713881	0.0027148253068932956	
5	TrialState.COMPLETE	0.005594900849858357	2020-01-07 17:50:24.542673	2020-01-07 22:12:26.706009	0.8430729275049674	8.645085519916435	200.0	150.0	1	190.0	0.0010482236959319382	800.0	0.9722631543012291	0.0007790368271954674	0.005594900849858357	0.0024079320113314447	0.003045325779036827	19711.561083569406	0.00323242036474082	0.0007790368271954674	0.005594900849858357	0.0024079320113314447	0.003045325779036827	19711.551062322946	0.003232426985116417	0.0007790368271954674	0.005594900849858357	0.0024079320113314447	0.003045325779036827	19711.571104815863	0.0032324138668113228	5		0.004603399433427762	0.005223087818696884
6	TrialState.COMPLETE	0.0002213172804532578	2020-01-07 22:12:26.707060	2020-01-07 23:31:03.381744	0.4224543923709936	28.02751712833269	150.0	100.0	1	150.0	0.00637735368046732	500.0	1.1108213900130561	0.0	0.0002213172804532578	4.426345609065156e-05	8.852691218130312e-05	22520.873760623228	0.0003258343223973106	0.0	0.0002213172804532578	4.426345609065156e-05	8.852691218130312e-05	22519.778682719545	0.00032617848187916455	0.0	0.0002213172804532578	4.426345609065156e-05	8.852691218130312e-05	22521.96883852691	0.00032553494467083997	6	0.0004426345609065156	0.0002950897072710104	
7	TrialState.COMPLETE	0.003186968838526912	2020-01-07 23:31:03.382665	2020-01-08 00:02:51.408294	0.265365732129924	9.391728238591401	100.0	100.0	2	50.0	0.0022023139969078336	600.0	1.0263033563766577	0.0006639518413597734	0.003186968838526912	0.0013279036827195468	0.0020361189801699716	20806.80380223088	0.002109305931739311	0.0006639518413597734	0.003186968838526912	0.0013279036827195468	0.0020361189801699716	20806.793201133143	0.0021093082360894456	0.0006639518413597734	0.003186968838526912	0.0013279036827195468	0.0020361189801699716	20806.81440332861	0.002109303643045281	7	0.0019475920679886685	0.0027738432483474977	
8	TrialState.COMPLETE	0.000398371104815864	2020-01-08 00:02:51.409222	2020-01-08 00:39:17.077476	0.22390134200188477	15.967082419799915	100.0	50.0	1	120.0	0.019975889131211105	800.0	1.0887846906057779	4.426345609065156e-05	0.000398371104815864	8.852691218130312e-05	0.0002655807365439094	22073.709853045326	0.00039525047593382397	4.426345609065156e-05	0.0004868980169971671	8.852691218130312e-05	0.0002655807365439094	22072.783197592067	0.00039575421048578197	4.426345609065156e-05	0.000398371104815864	8.852691218130312e-05	0.0002655807365439094	22074.636508498585	0.000394786174350478	8	0.0006196883852691218	0.00047214353163361664	
9	TrialState.COMPLETE	0.0006196883852691218	2020-01-08 00:39:17.078328	2020-01-08 01:32:29.162919	0.4738480977484678	15.451774512960451	50.0	200.0	2	130.0	0.005401206023507145	500.0	1.1133486644161774	0.0002655807365439094	0.0006196883852691218	0.0003541076487252125	0.000398371104815864	22572.110370927763	0.0006406385052628003	0.0003098441926345609	0.0008852691218130312	0.0004426345609065156	0.0005311614730878187	22392.186083569406	0.0007763097906291948	0.0002655807365439094	0.0006196883852691218	0.0003541076487252125	0.000398371104815864	22752.03465828612	0.000634359015928715	9	0.000708215297450425	0.0006491973559962229	
10	TrialState.COMPLETE	0.0003098441926345609	2020-01-08 01:32:29.163698	2020-01-08 02:21:48.557574	0.9697397557796625	18.920787366840386	150.0	100.0	2	80.0	0.01762601293454424	1000.0	1.0944725197808667	0.0	0.0003098441926345609	0.0	4.426345609065156e-05	22189.350743626062	0.0002829980682064851	0.0	0.0003098441926345609	0.0	4.426345609065156e-05	22188.67470786119	0.00028320336875796984	0.0	0.0003098441926345609	0.0	4.426345609065156e-05	22190.026779390933	0.0002828049316854006	10	0.0002655807365439094	0.0002950897072710104	
11	TrialState.COMPLETE	0.0002213172804532578	2020-01-08 02:21:48.558439	2020-01-08 05:09:23.231222	0.34636158243661197	17.355282472986314	150.0	200.0	1	190.0	0.023183215325876628	600.0	1.0879638176774917	0.0	0.0002213172804532578	0.0	4.426345609065156e-05	22056.961778505665	0.00028563166163254503	0.0	0.0002213172804532578	0.0	4.426345609065156e-05	22056.3034259915	0.0002856978910374228	0.0	0.0002213172804532578	0.0	4.426345609065156e-05	22057.62013101983	0.00028556710248937807	11	0.0002655807365439094	0.00023607176581680832	
12	TrialState.COMPLETE	0.002700070821529745	2020-01-08 05:09:23.232276	2020-01-08 05:30:35.794952	0.3413928940171173	23.556308297242275	50.0	200.0	2	10.0	0.002583409674950315	500.0	0.9440761232098516	0.000398371104815864	0.002700070821529745	0.000796742209631728	0.00141643059490085	19139.505156692634	0.0016601196408480216	0.0006196883852691218	0.003939447592067989	0.00141643059490085	0.002213172804532578	17756.103089589236	0.002335975199195603	0.000398371104815864	0.002700070821529745	0.000796742209631728	0.00141643059490085	20522.907223796035	0.0016481788922018963	12	0.002213172804532578	0.0025377714825306893	
13	TrialState.COMPLETE	0.0009737960339943342	2020-01-08 05:30:35.795845	2020-01-08 06:46:06.163769	0.17195221141581862	9.222837959841083	150.0	150.0	1	90.0	0.005344603683622224	1000.0	1.09338483219014	4.426345609065156e-05	0.0009737960339943342	0.0003541076487252125	0.0004426345609065156	22167.33363580028	0.0005712748117464588	4.426345609065156e-05	0.0009737960339943342	0.0003541076487252125	0.0004426345609065156	22167.32471671388	0.0005712748866328473	4.426345609065156e-05	0.0009737960339943342	0.0003541076487252125	0.0004426345609065156	22167.342554886687	0.0005712747368976992	13	0.0010623229461756375	0.0010033050047214354	
14	TrialState.COMPLETE	0.000398371104815864	2020-01-08 06:46:06.164834	2020-01-08 07:45:48.009782	0.6819711011595989	26.19986601321086	200.0	200.0	1	40.0	0.026495502436075517	700.0	1.094181320657558	4.426345609065156e-05	0.000398371104815864	4.426345609065156e-05	0.00017705382436260624	22183.16669617564	0.00031096619197617105	4.426345609065156e-05	0.000398371104815864	4.426345609065156e-05	0.00017705382436260624	22182.24287358357	0.00031102707856812153	4.426345609065156e-05	0.000398371104815864	4.426345609065156e-05	0.00017705382436260624	22184.090518767705	0.00031090674056392107	14	0.000796742209631728	0.0005311614730878187	
15	TrialState.COMPLETE	0.0003098441926345609	2020-01-08 07:45:48.010742	2020-01-08 09:03:58.596163	0.7094396547224766	15.632170462937648	200.0	50.0	1	190.0	0.08058172639662334	600.0	1.0805322838822633	4.426345609065156e-05	0.0003098441926345609	8.852691218130312e-05	0.00017705382436260624	21906.161517351276	0.0002937491493360587	4.426345609065156e-05	0.0003098441926345609	8.852691218130312e-05	0.00017705382436260624	21905.41598796034	0.0002937966553922996	4.426345609065156e-05	0.0003098441926345609	8.852691218130312e-05	0.00017705382436260624	21906.90704674221	0.0002937025652696464	15	0.0004426345609065156	0.0003541076487252125	
16	TrialState.COMPLETE	0.003895184135977337	2020-01-08 09:03:58.597013	2020-01-08 11:43:52.603927	0.7030401912730014	17.794530802540503	150.0	150.0	2	140.0	0.0014151517022869143	1000.0	0.9776961084742408	0.0005311614730878187	0.003895184135977337	0.0015580736543909348	0.00198300283286119	19821.396087110483	0.002328322945942604	0.0005311614730878187	0.003930594900849858	0.0015580736543909348	0.00198300283286119	19794.24497167139	0.002330222903014128	0.0005311614730878187	0.003895184135977337	0.0015580736543909348	0.00198300283286119	19848.547202549576	0.00232679682393824	16		0.003068932955618508	0.003585339943342776
